product_pair,count,product_a,product_b
"('furniture_decor', 'furniture_decor')",2969,furniture_decor,furniture_decor
"('bed_bath_table', 'bed_bath_table')",2353,bed_bath_table,bed_bath_table
"('housewares', 'housewares')",1951,housewares,housewares
"('computers_accessories', 'computers_accessories')",1944,computers_accessories,computers_accessories
"('garden_tools', 'garden_tools')",1428,garden_tools,garden_tools
"('health_beauty', 'health_beauty')",1327,health_beauty,health_beauty
"('sports_leisure', 'sports_leisure')",1214,sports_leisure,sports_leisure
"('office_furniture', 'office_furniture')",820,office_furniture,office_furniture
"('auto', 'auto')",611,auto,auto
"('telephony', 'telephony')",580,telephony,telephony
"('watches_gifts', 'watches_gifts')",577,watches_gifts,watches_gifts
"('construction_tools_construction', 'construction_tools_construction')",347,construction_tools_construction,construction_tools_construction
"('perfumery', 'perfumery')",347,perfumery,perfumery
"('pet_shop', 'pet_shop')",321,pet_shop,pet_shop
"('electronics', 'electronics')",290,electronics,electronics
"('toys', 'toys')",290,toys,toys
"('baby', 'baby')",284,baby,baby
"('stationery', 'stationery')",260,stationery,stationery
"('cool_stuff', 'cool_stuff')",239,cool_stuff,cool_stuff
"('fashion_bags_accessories', 'fashion_bags_accessories')",222,fashion_bags_accessories,fashion_bags_accessories
"('home_construction', 'home_construction')",184,home_construction,home_construction
"('drinks', 'drinks')",159,drinks,drinks
"('furniture_living_room', 'furniture_living_room')",156,furniture_living_room,furniture_living_room
"('construction_tools_lights', 'construction_tools_lights')",108,construction_tools_lights,construction_tools_lights
"('signaling_and_security', 'signaling_and_security')",108,signaling_and_security,signaling_and_security
"('consoles_games', 'consoles_games')",99,consoles_games,consoles_games
"('fixed_telephony', 'fixed_telephony')",92,fixed_telephony,fixed_telephony
"('food', 'food')",89,food,food
"('food_drink', 'food_drink')",77,food_drink,food_drink
"('luggage_accessories', 'luggage_accessories')",67,luggage_accessories,luggage_accessories
"('furniture_decor', 'bed_bath_table')",66,furniture_decor,bed_bath_table
"('small_appliances', 'small_appliances')",63,small_appliances,small_appliances
"('air_conditioning', 'air_conditioning')",63,air_conditioning,air_conditioning
"('bed_bath_table', 'furniture_decor')",62,bed_bath_table,furniture_decor
"('market_place', 'market_place')",58,market_place,market_place
"('costruction_tools_garden', 'costruction_tools_garden')",53,costruction_tools_garden,costruction_tools_garden
"('books_general_interest', 'books_general_interest')",53,books_general_interest,books_general_interest
